state_name,state_abb,state_fips,cd_fips,cd_name,indiv_label,indiv_with,indiv_without,indiv_increase,indiv_perc,couple_label,couple_with,couple_without,couple_increase,couple_perc,family_label,family_with,family_without,family_increase,family_perc,notes
Arizona,AZ,04,03,Arizona District 3,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,24668,17443,241%,"Family of four, $130,000 (404% FPL)",11050,18569,7519,68%,NA
Arizona,AZ,04,04,Arizona District 4,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,24668,17443,241%,"Family of four, $130,000 (404% FPL)",11050,18569,7519,68%,NA
Arizona,AZ,04,05,Arizona District 5,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,24805,17580,243%,"Family of four, $130,000 (404% FPL)",11050,18672,7622,69%,NA
Arizona,AZ,04,06,Arizona District 6,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,25070,17845,247%,"Family of four, $130,000 (404% FPL)",11050,18872,7822,71%,NA
Arizona,AZ,04,07,Arizona District 7,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,26506,19281,267%,"Family of four, $130,000 (404% FPL)",11050,19952,8902,81%,NA
Arizona,AZ,04,08,Arizona District 8,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,24668,17443,241%,"Family of four, $130,000 (404% FPL)",11050,18569,7519,68%,NA
Arizona,AZ,04,09,Arizona District 9,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,32844,25619,355%,"Family of four, $130,000 (404% FPL)",11050,24724,13674,124%,NA
Arkansas,AR,05,01,Arkansas District 1,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,39449,32224,446%,"Family of four, $130,000 (404% FPL)",11050,29695,18645,169%,NA
Arkansas,AR,05,02,Arkansas District 2,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,39449,32224,446%,"Family of four, $130,000 (404% FPL)",11050,29695,18645,169%,NA
Arkansas,AR,05,03,Arkansas District 3,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,39449,32224,446%,"Family of four, $130,000 (404% FPL)",11050,29695,18645,169%,NA
Arkansas,AR,05,04,Arkansas District 4,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,39449,32224,446%,"Family of four, $130,000 (404% FPL)",11050,29695,18645,169%,NA
California,CA,06,01,California District 1,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,42537,35312,489%,"Family of four, $130,000 (404% FPL)",11050,32021,20971,190%,NA
California,CA,06,02,California District 2,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,36053,28828,399%,"Family of four, $130,000 (404% FPL)",11050,27139,16089,146%,NA
California,CA,06,03,California District 3,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,37577,30352,420%,"Family of four, $130,000 (404% FPL)",11050,28287,17237,156%,NA
California,CA,06,04,California District 4,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,33555,26330,364%,"Family of four, $130,000 (404% FPL)",11050,25259,14209,129%,NA
California,CA,06,05,California District 5,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,33557,26332,364%,"Family of four, $130,000 (404% FPL)",11050,25260,14210,129%,NA
California,CA,06,06,California District 6,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,32468,25243,349%,"Family of four, $130,000 (404% FPL)",11050,24441,13391,121%,NA
California,CA,06,07,California District 7,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,32464,25239,349%,"Family of four, $130,000 (404% FPL)",11050,24438,13388,121%,NA
California,CA,06,08,California District 8,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,37474,30249,419%,"Family of four, $130,000 (404% FPL)",11050,28209,17159,155%,NA
California,CA,06,09,California District 9,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,31794,24569,340%,"Family of four, $130,000 (404% FPL)",11050,23934,12884,117%,NA
California,CA,06,10,California District 10,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,39623,32398,448%,"Family of four, $130,000 (404% FPL)",11050,29827,18777,170%,NA
California,CA,06,11,California District 11,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,37053,29828,413%,"Family of four, $130,000 (404% FPL)",11050,27892,16842,152%,NA
California,CA,06,12,California District 12,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,37021,29796,412%,"Family of four, $130,000 (404% FPL)",11050,27868,16818,152%,NA
California,CA,06,13,California District 13,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,37734,30509,422%,"Family of four, $130,000 (404% FPL)",11050,28405,17355,157%,NA
California,CA,06,14,California District 14,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,36998,29773,412%,"Family of four, $130,000 (404% FPL)",11050,27851,16801,152%,NA
California,CA,06,15,California District 15,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,39629,32404,448%,"Family of four, $130,000 (404% FPL)",11050,29831,18781,170%,NA
California,CA,06,16,California District 16,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,34503,27278,378%,"Family of four, $130,000 (404% FPL)",11050,25973,14923,135%,NA
California,CA,06,17,California District 17,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,33835,26610,368%,"Family of four, $130,000 (404% FPL)",11050,25469,14419,130%,NA
California,CA,06,18,California District 18,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,40675,33450,463%,"Family of four, $130,000 (404% FPL)",11050,30619,19569,177%,NA
California,CA,06,19,California District 19,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,41064,33839,468%,"Family of four, $130,000 (404% FPL)",11050,30912,19862,180%,NA
California,CA,06,20,California District 20,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,29657,22432,310%,"Family of four, $130,000 (404% FPL)",11050,22324,11274,102%,NA
California,CA,06,21,California District 21,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,29407,22182,307%,"Family of four, $130,000 (404% FPL)",11050,22137,11087,100%,NA
California,CA,06,22,California District 22,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,29846,22621,313%,"Family of four, $130,000 (404% FPL)",11050,22467,11417,103%,NA
California,CA,06,23,California District 23,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23711,16486,228%,"Family of four, $130,000 (404% FPL)",11050,17849,6799,62%,NA
California,CA,06,24,California District 24,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,38258,31033,430%,"Family of four, $130,000 (404% FPL)",11050,28799,17749,161%,NA
California,CA,06,25,California District 25,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,25818,18593,257%,"Family of four, $130,000 (404% FPL)",11050,19435,8385,76%,NA
California,CA,06,26,California District 26,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,31213,23988,332%,"Family of four, $130,000 (404% FPL)",11050,23496,12446,113%,NA
California,CA,06,27,California District 27,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23960,16735,232%,"Family of four, $130,000 (404% FPL)",11050,18036,6986,63%,NA
California,CA,06,28,California District 28,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23549,16324,226%,"Family of four, $130,000 (404% FPL)",11050,17727,6677,60%,NA
California,CA,06,29,California District 29,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23343,16118,223%,"Family of four, $130,000 (404% FPL)",11050,17572,6522,59%,NA
California,CA,06,30,California District 30,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23430,16205,224%,"Family of four, $130,000 (404% FPL)",11050,17637,6587,60%,NA
California,CA,06,31,California District 31,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23547,16322,226%,"Family of four, $130,000 (404% FPL)",11050,17725,6675,60%,NA
California,CA,06,32,California District 32,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23408,16183,224%,"Family of four, $130,000 (404% FPL)",11050,17621,6571,59%,NA
California,CA,06,33,California District 33,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23598,16373,227%,"Family of four, $130,000 (404% FPL)",11050,17764,6714,61%,NA
California,CA,06,34,California District 34,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23343,16118,223%,"Family of four, $130,000 (404% FPL)",11050,17572,6522,59%,NA
California,CA,06,35,California District 35,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23588,16363,226%,"Family of four, $130,000 (404% FPL)",11050,17756,6706,61%,NA
California,CA,06,36,California District 36,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23350,16125,223%,"Family of four, $130,000 (404% FPL)",11050,17577,6527,59%,NA
California,CA,06,37,California District 37,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23343,16118,223%,"Family of four, $130,000 (404% FPL)",11050,17572,6522,59%,NA
California,CA,06,38,California District 38,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23737,16512,229%,"Family of four, $130,000 (404% FPL)",11050,17869,6819,62%,NA
California,CA,06,39,California District 39,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23598,16373,227%,"Family of four, $130,000 (404% FPL)",11050,17764,6714,61%,NA
California,CA,06,40,California District 40,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,26139,18914,262%,"Family of four, $130,000 (404% FPL)",11050,19677,8627,78%,NA
California,CA,06,41,California District 41,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23598,16373,227%,"Family of four, $130,000 (404% FPL)",11050,17764,6714,61%,NA
California,CA,06,42,California District 42,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23467,16242,225%,"Family of four, $130,000 (404% FPL)",11050,17665,6615,60%,NA
California,CA,06,43,California District 43,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23343,16118,223%,"Family of four, $130,000 (404% FPL)",11050,17572,6522,59%,NA
California,CA,06,44,California District 44,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,23492,16267,225%,"Family of four, $130,000 (404% FPL)",11050,17684,6634,60%,NA
California,CA,06,45,California District 45,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,26163,18938,262%,"Family of four, $130,000 (404% FPL)",11050,19695,8645,78%,NA
California,CA,06,46,California District 46,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,26503,19278,267%,"Family of four, $130,000 (404% FPL)",11050,19950,8900,81%,NA
California,CA,06,47,California District 47,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,26503,19278,267%,"Family of four, $130,000 (404% FPL)",11050,19950,8900,81%,NA
California,CA,06,48,California District 48,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,24827,17602,244%,"Family of four, $130,000 (404% FPL)",11050,18689,7639,69%,NA
California,CA,06,49,California District 49,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,26334,19109,264%,"Family of four, $130,000 (404% FPL)",11050,19823,8773,79%,NA
California,CA,06,50,California District 50,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,25226,18001,249%,"Family of four, $130,000 (404% FPL)",11050,18989,7939,72%,NA
California,CA,06,51,California District 51,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,24923,17698,245%,"Family of four, $130,000 (404% FPL)",11050,18761,7711,70%,NA
California,CA,06,52,California District 52,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,24923,17698,245%,"Family of four, $130,000 (404% FPL)",11050,18761,7711,70%,NA
Colorado,CO,08,01,Colorado District 1,"45-year-old individual, $32,000 (204% FPL)",0,1199,1199,NA,"60-year-old couple, $85,000 (401% FPL)",7225,25840,18615,258%,"Family of four, $130,000 (404% FPL)",11050,19452,8402,76%,Note: Calculations assume Colorado-specific premium subsidies will remain the same with and without enhancements
Colorado,CO,08,02,Colorado District 2,"45-year-old individual, $32,000 (204% FPL)",0,1199,1199,NA,"60-year-old couple, $85,000 (401% FPL)",7225,28504,21279,295%,"Family of four, $130,000 (404% FPL)",11050,21457,10407,94%,Note: Calculations assume Colorado-specific premium subsidies will remain the same with and without enhancements
Colorado,CO,08,03,Colorado District 3,"45-year-old individual, $32,000 (204% FPL)",0,1199,1199,NA,"60-year-old couple, $85,000 (401% FPL)",7225,36011,28786,398%,"Family of four, $130,000 (404% FPL)",11050,27108,16058,145%,Note: Calculations assume Colorado-specific premium subsidies will remain the same with and without enhancements
Colorado,CO,08,04,Colorado District 4,"45-year-old individual, $32,000 (204% FPL)",0,1199,1199,NA,"60-year-old couple, $85,000 (401% FPL)",7225,27367,20142,279%,"Family of four, $130,000 (404% FPL)",11050,20601,9551,86%,Note: Calculations assume Colorado-specific premium subsidies will remain the same with and without enhancements
Colorado,CO,08,05,Colorado District 5,"45-year-old individual, $32,000 (204% FPL)",0,1199,1199,NA,"60-year-old couple, $85,000 (401% FPL)",7225,27165,19940,276%,"Family of four, $130,000 (404% FPL)",11050,20449,9399,85%,Note: Calculations assume Colorado-specific premium subsidies will remain the same with and without enhancements
Colorado,CO,08,06,Colorado District 6,"45-year-old individual, $32,000 (204% FPL)",0,1199,1199,NA,"60-year-old couple, $85,000 (401% FPL)",7225,25840,18615,258%,"Family of four, $130,000 (404% FPL)",11050,19452,8402,76%,Note: Calculations assume Colorado-specific premium subsidies will remain the same with and without enhancements
Colorado,CO,08,07,Colorado District 7,"45-year-old individual, $32,000 (204% FPL)",0,1199,1199,NA,"60-year-old couple, $85,000 (401% FPL)",7225,26893,19668,272%,"Family of four, $130,000 (404% FPL)",11050,20244,9194,83%,Note: Calculations assume Colorado-specific premium subsidies will remain the same with and without enhancements
Colorado,CO,08,08,Colorado District 8,"45-year-old individual, $32,000 (204% FPL)",0,1199,1199,NA,"60-year-old couple, $85,000 (401% FPL)",7225,26551,19326,267%,"Family of four, $130,000 (404% FPL)",11050,19987,8937,81%,Note: Calculations assume Colorado-specific premium subsidies will remain the same with and without enhancements
Connecticut,CT,09,01,Connecticut District 1,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,46774,39549,547%,"Family of four, $130,000 (404% FPL)",11050,35210,24160,219%,NA
Connecticut,CT,09,02,Connecticut District 2,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,44683,37458,518%,"Family of four, $130,000 (404% FPL)",11050,33635,22585,204%,NA
Connecticut,CT,09,03,Connecticut District 3,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,42663,35438,490%,"Family of four, $130,000 (404% FPL)",11050,32115,21065,191%,NA
Connecticut,CT,09,04,Connecticut District 4,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,40668,33443,463%,"Family of four, $130,000 (404% FPL)",11050,30613,19563,177%,NA
Connecticut,CT,09,05,Connecticut District 5,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,45549,38324,530%,"Family of four, $130,000 (404% FPL)",11050,34288,23238,210%,NA
Delaware,DE,10,00,Delaware At-large District,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,35218,27993,387%,"Family of four, $130,000 (404% FPL)",11050,26511,15461,140%,NA
District of Columbia,DC,11,98,District of Columbia At-large Delegate District,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,31362,24137,334%,"Family of four, $130,000 (404% FPL)",11050,24340,13290,120%,NA
Florida,FL,12,01,Florida District 1,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,35703,28478,394%,"Family of four, $130,000 (404% FPL)",11050,26876,15826,143%,NA
Florida,FL,12,02,Florida District 2,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,33848,26623,368%,"Family of four, $130,000 (404% FPL)",11050,25480,14430,131%,NA
Florida,FL,12,03,Florida District 3,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,37729,30504,422%,"Family of four, $130,000 (404% FPL)",11050,28401,17351,157%,NA
Florida,FL,12,04,Florida District 4,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,35484,28259,391%,"Family of four, $130,000 (404% FPL)",11050,26711,15661,142%,NA
Florida,FL,12,05,Florida District 5,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,34931,27706,383%,"Family of four, $130,000 (404% FPL)",11050,26295,15245,138%,NA
Florida,FL,12,06,Florida District 6,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,35250,28025,388%,"Family of four, $130,000 (404% FPL)",11050,26535,15485,140%,NA
Florida,FL,12,07,Florida District 7,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,35330,28105,389%,"Family of four, $130,000 (404% FPL)",11050,26595,15545,141%,NA
Florida,FL,12,08,Florida District 8,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,29399,22174,307%,"Family of four, $130,000 (404% FPL)",11050,22131,11081,100%,NA
Florida,FL,12,09,Florida District 9,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,34195,26970,373%,"Family of four, $130,000 (404% FPL)",11050,25741,14691,133%,NA
Florida,FL,12,10,Florida District 10,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,34658,27433,380%,"Family of four, $130,000 (404% FPL)",11050,26089,15039,136%,NA
Florida,FL,12,11,Florida District 11,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,34227,27002,374%,"Family of four, $130,000 (404% FPL)",11050,25765,14715,133%,NA
Florida,FL,12,12,Florida District 12,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,33979,26754,370%,"Family of four, $130,000 (404% FPL)",11050,25578,14528,131%,NA
Florida,FL,12,13,Florida District 13,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,32670,25445,352%,"Family of four, $130,000 (404% FPL)",11050,24593,13543,123%,NA
Florida,FL,12,14,Florida District 14,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,32835,25610,354%,"Family of four, $130,000 (404% FPL)",11050,24717,13667,124%,NA
Florida,FL,12,15,Florida District 15,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,33120,25895,358%,"Family of four, $130,000 (404% FPL)",11050,24931,13881,126%,NA
Florida,FL,12,16,Florida District 16,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,34314,27089,375%,"Family of four, $130,000 (404% FPL)",11050,25831,14781,134%,NA
Florida,FL,12,17,Florida District 17,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,36370,29145,403%,"Family of four, $130,000 (404% FPL)",11050,27378,16328,148%,NA
Florida,FL,12,18,Florida District 18,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,34770,27545,381%,"Family of four, $130,000 (404% FPL)",11050,26174,15124,137%,NA
Florida,FL,12,19,Florida District 19,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,36519,29294,405%,"Family of four, $130,000 (404% FPL)",11050,27490,16440,149%,NA
Florida,FL,12,20,Florida District 20,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,34479,27254,377%,"Family of four, $130,000 (404% FPL)",11050,25955,14905,135%,NA
Florida,FL,12,21,Florida District 21,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,37091,29866,413%,"Family of four, $130,000 (404% FPL)",11050,27921,16871,153%,NA
Florida,FL,12,22,Florida District 22,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,34403,27178,376%,"Family of four, $130,000 (404% FPL)",11050,25897,14847,134%,NA
Florida,FL,12,23,Florida District 23,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,34483,27258,377%,"Family of four, $130,000 (404% FPL)",11050,25957,14907,135%,NA
Florida,FL,12,24,Florida District 24,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,34740,27515,381%,"Family of four, $130,000 (404% FPL)",11050,26151,15101,137%,NA
Florida,FL,12,25,Florida District 25,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,34505,27280,378%,"Family of four, $130,000 (404% FPL)",11050,25974,14924,135%,NA
Florida,FL,12,26,Florida District 26,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,35169,27944,387%,"Family of four, $130,000 (404% FPL)",11050,26474,15424,140%,NA
